window,train_start,train_end,test_start,risk_on_put_delta,risk_on_call_delta,risk_off_put_delta,risk_off_call_delta,protection_ratio_risk_on,protection_ratio_risk_off,ladder_tenors,purchase_frequency_days,use_put_spreads,use_call_spreads,min_hedge,budget_tiers,train_cagr,train_max_dd,test_cagr,test_max_dd,test_vol,test_sharpe,score
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.2,0.12,0.3,0.7,"[30, 60, 90]",10,True,True,0.4,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.015}",0.01426689537993675,0.009209098590513755,0.1335232014476333,0.029505076830825296,0.06436853034474126,1.3171326317598424,0.1335232014476333
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.25,0.08,0.5,0.8,"[30, 60, 90]",7,False,False,0.4,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.015}",0.017831179191131197,0.008485531344896926,0.17156037935625168,0.033430997517526165,0.07599114701788486,1.4217550888965247,0.17156037935625168
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.3,0.08,0.3,0.7,"[30, 60, 90]",14,True,True,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.02}",0.014184656830373399,0.009348738484084152,0.1332606818532316,0.029508475932109635,0.06437610653097159,1.3171375575494975,0.1332606818532316
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.2,0.08,0.4,0.7,"[35, 70, 105]",7,False,False,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.02}",0.01945452303038797,0.011237614372307853,0.1841533550636305,0.04694050156144397,0.097893345535388,1.1834021270086144,0.1841533550636305
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.08,-0.25,0.12,0.3,0.8,"[35, 70, 105]",10,False,False,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.015}",0.01202435311706651,0.007251390636179859,0.11074970361841596,0.02489620617416296,0.05316964712821127,1.3257964799617976,0.11074970361841596
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.15,-0.3,0.12,0.3,0.7,"[35, 70, 105]",14,True,True,0.5,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.01417294158155391,0.009365567373119792,0.13320003411771753,0.029509205195632316,0.06437418141076913,1.3168795224521015,0.13320003411771753
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.3,0.08,0.4,0.8,"[30, 60, 90]",10,True,False,0.4,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.012437890780955252,0.0067093741154273055,0.1253563659893524,0.01933142681289382,0.0476439656565701,1.721222821805735,0.1253563659893524
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.2,0.08,0.3,0.8,"[35, 70, 105]",7,True,False,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.02455826080434864,0.014597828972302239,0.23986666143969226,0.04772484832741465,0.10500650197860949,1.4048756545275018,0.23986666143969226
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.2,0.08,0.3,0.7,"[35, 70, 105]",14,True,False,0.4,"{'calm': 0.005, 'normal': 0.01, 'stress': 0.02}",0.013220377335802613,0.007131334264702922,0.13076763157833526,0.026216980083931793,0.05875360034944965,1.4480172094950816,0.13076763157833526
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.08,-0.25,0.08,0.5,0.7,"[30, 60, 90]",14,False,False,0.5,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.015}",0.009856016420546565,0.0043621426681951835,0.0916575076205004,0.01530395473585649,0.03743706456797884,1.5729964593635564,0.0916575076205004
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.08,-0.3,0.08,0.4,0.7,"[30, 60, 90]",14,True,False,0.5,"{'calm': 0.005, 'normal': 0.008, 'stress': 0.02}",0.013242030918521275,0.0074610356473027405,0.13083598406235386,0.026222499258145602,0.05876278309878781,1.4477458465037834,0.13083598406235386
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.08,-0.25,0.12,0.4,0.7,"[35, 70, 105]",7,True,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.02}",0.02118151652773448,0.01127931270754249,0.22329555052688121,0.032024568804864435,0.07912382396111797,1.7889683295002587,0.22329555052688121
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.25,0.12,0.5,0.7,"[30, 60, 90]",14,True,False,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.01244024057254256,0.006715323239715505,0.1253725235441996,0.019347016098959578,0.04767868966274937,1.7201590648368816,0.1253725235441996
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.25,0.08,0.3,0.7,"[35, 70, 105]",10,False,True,0.5,"{'calm': 0.008, 'normal': 0.01, 'stress': 0.015}",0.012311038270616415,0.008362802096644186,0.11135485841347781,0.026562345265032275,0.056033729995232553,1.2554927900690263,0.11135485841347781
0,2020-01-01,2021-07-01,2022-01-01,-0.1,0.12,-0.2,0.12,0.5,0.8,"[30, 60, 90]",7,True,False,0.4,"{'calm': 0.003, 'normal': 0.01, 'stress': 0.015}",0.021173920567598925,0.011265432962506544,0.22325501491844335,0.031988642583064504,0.07904336541672588,1.7905713261293734,0.22325501491844335
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.12,-0.25,0.08,0.3,0.8,"[30, 60, 90]",10,True,True,0.5,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.01418038023419399,0.009348781808656316,0.13322584785813252,0.029508863704389054,0.06437423015079793,1.316893040589199,0.13322584785813252
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.08,-0.2,0.08,0.3,0.7,"[35, 70, 105]",14,True,True,0.4,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.014269807030643955,0.009264046134978507,0.1335092395542472,0.029505201424931495,0.06436525800421661,1.3168737210008952,0.1335092395542472
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.2,0.12,0.5,0.7,"[30, 60, 90]",14,True,False,0.5,"{'calm': 0.003, 'normal': 0.008, 'stress': 0.015}",0.01243637296538913,0.006709325417708855,0.1253442553752424,0.019331530909886253,0.04764184649273412,1.7211657479704685,0.1253442553752424
0,2020-01-01,2021-07-01,2022-01-01,-0.12,0.15,-0.25,0.08,0.3,0.7,"[30, 60, 90]",7,False,True,0.4,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.024598455158501453,0.014267832008988224,0.22553334539880998,0.04957823499047743,0.10632079378901657,1.2788477183283151,0.22553334539880998
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.15,-0.25,0.12,0.3,0.7,"[30, 60, 90]",7,True,True,0.4,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.025302954293136226,0.015653175187724692,0.24203303922672448,0.04923898879941314,0.10766362836938319,1.3689431399293255,0.24203303922672448
0,2020-01-01,2021-07-01,2022-01-01,-0.15,0.15,-0.25,0.08,0.5,0.7,"[35, 70, 105]",10,True,False,0.4,"{'calm': 0.008, 'normal': 0.008, 'stress': 0.02}",0.01243044912091329,0.006708481565699799,0.12530478970435532,0.01933183207635101,0.0476388743382346,1.7209015805773973,0.12530478970435532
