config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier,label
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-02-27,2020-03-03,2020-03-03,expiry,5,2978.760009765625,2835,2805,3135,3165,548.97,2451.03,546.37,99.53,22.29,1,145.01,-0.59,39.16,36.82,-2.34,3270.76,3046.57,0.0,0.0,3003.37,0.8262,4.8262,5.2451,3,2,2020,-2,BEAR,0.0,1,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-02-28,2020-03-02,2020-03-02,expiry,3,2954.219970703125,2860,2830,3055,3085,364.0,2636.0,-2638.6,-724.89,-100.1,0,0.0,0.0,40.11,33.42,-6.69,3266.02,3047.17,0.0,0.0,3090.23,4.6039,3.1893,3.4114,4,2,2020,-2,BEAR,0.0,2,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-05,2020-03-09,2020-03-10,stop_loss,4,3023.93994140625,2880,2850,3185,3215,566.23,2433.77,-2154.37,-380.48,-88.52,0,0.0,-2109.17,39.62,54.46,14.84,3254.77,3051.28,0.0,0.0,2746.56,-9.1728,4.76,5.3262,3,3,2020,-2,BEAR,0.0,6,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-06,2020-03-09,2020-03-11,stop_loss,3,2972.3701171875,2820,2790,3140,3170,559.5,2440.5,-1510.96,-270.05,-61.91,0,0.0,-1465.76,41.94,54.46,12.52,3249.73,3051.82,0.0,0.0,2746.56,-7.597,5.1262,5.6396,4,3,2020,-2,BEAR,0.0,7,LOSS
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-06,2020-03-09,2020-03-09,expiry,3,2972.3701171875,2875,2845,3075,3105,396.98,2603.02,-2605.62,-656.36,-100.1,0,0.0,0.0,41.94,54.46,12.52,3249.73,3051.82,0.0,0.0,2746.56,-7.597,3.2758,3.4528,4,3,2020,-2,BEAR,0.0,7,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-09,2020-03-11,2020-03-12,profit_target,2,2746.56005859375,2565,2535,2950,2980,576.13,2423.87,447.47,77.67,18.46,1,492.67,-172.47,54.46,53.9,-0.56,3240.2,3051.27,0.0,0.0,2741.38,-0.1886,6.6105,7.4071,0,3,2020,-2,BEAR,0.0,8,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-09,2020-03-11,2020-03-11,expiry,2,2746.56005859375,2585,2555,2925,2955,460.27,2539.73,457.67,99.44,18.02,1,0.0,-293.26,54.46,53.9,-0.56,3240.2,3051.27,0.0,0.0,2741.38,-0.1886,5.8823,6.4969,0,3,2020,-2,BEAR,0.0,8,WIN
IC9_7DTE_D12_TP30,iron_condor,7,0.12,50,2020-03-11,2020-03-12,2020-03-20,stop_loss,1,2741.3798828125,2480,2430,3065,3115,971.97,4028.03,-1621.04,-166.78,-40.24,0,0.0,-1575.84,53.9,75.47,21.57,3223.07,3051.14,0.0,0.0,2480.64,-9.5113,9.5346,11.805,2,3,2020,-2,BEAR,0.0,10,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-12,2020-03-17,2020-03-17,expiry,5,2480.639892578125,2260,2230,2745,2775,594.27,2405.73,591.67,99.56,24.59,1,208.76,-478.57,75.47,75.91,0.44,3208.26,3049.54,0.0,0.0,2529.19,1.9572,8.8945,10.6569,3,3,2020,-2,BEAR,0.0,11,WIN
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2020-03-13,2020-03-16,2020-03-16,expiry,3,2711.02001953125,2590,2560,2845,2875,414.57,2585.43,-2588.03,-624.27,-100.1,0,0.0,0.0,57.83,82.69,24.86,3197.86,3049.18,0.0,0.0,2386.13,-11.9841,4.464,4.9421,4,3,2020,-2,BEAR,0.0,12,LOSS
IC6_3DTE_D12_TP40,iron_condor,3,0.12,30,2020-03-13,2020-03-16,2020-03-18,stop_loss,3,2711.02001953125,2525,2495,2925,2955,593.96,2406.04,-1747.12,-294.15,-72.61,0,0.0,-1701.92,57.83,82.69,24.86,3197.86,3049.18,0.0,0.0,2386.13,-11.9841,6.8616,7.893,4,3,2020,-2,BEAR,0.0,12,LOSS
