config,strategy,dte,short_delta,width,entry_date,exit_date,expiration,exit_reason,hold_days,spx_at_entry,put_short_strike,put_long_strike,call_short_strike,call_long_strike,credit,max_loss,pnl,pnl_pct_of_credit,pnl_pct_of_max_loss,is_win,max_favorable_excursion,max_adverse_excursion,vix_at_entry,vix_at_exit,vix_change,sma50,sma200,spx_above_sma50,spx_above_sma200,spx_at_exit,spx_move_pct,put_distance_pct,call_distance_pct,entry_dow,entry_month,entry_year,regime_score,regime_tier,regime_position_scale,regime_days_in_tier
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-09,2015-03-10,2015-03-10,expiry,1,2079.429931640625,2055,2025,2105,2135,149.47,2850.53,-937.13,-626.98,-32.88,0,0.0,0.0,15.06,16.69,1.63,,,,,2044.16,-1.6961,1.1748,1.2297,0,3,2015,0,CAUTION,0.25,33
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-09,2015-03-10,2015-03-11,stop_loss,1,2079.429931640625,2045,2015,2115,2145,221.1,2778.9,-623.07,-281.81,-22.42,0,0.0,-577.87,15.06,16.69,1.63,,,,,2044.16,-1.6961,1.6557,1.7106,0,3,2015,0,CAUTION,0.25,33
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-09,2015-03-10,2015-03-12,stop_loss,1,2079.429931640625,2040,2010,2125,2155,270.38,2729.62,-574.88,-212.62,-21.06,0,0.0,-529.68,15.06,16.69,1.63,,,,,2044.16,-1.6961,1.8962,2.1915,0,3,2015,0,CAUTION,0.25,33
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-10,2015-03-12,2015-03-13,profit_target,2,2044.1600341796875,2000,1970,2095,2125,267.98,2732.02,152.41,56.87,5.58,1,197.61,0.0,16.69,15.42,-1.27,,,,,2065.95,1.066,2.1603,2.4871,1,3,2015,0,CAUTION,0.25,34
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-13,2015-03-16,2015-03-16,expiry,3,2053.39990234375,2030,2000,2080,2110,184.73,2815.27,63.14,34.18,2.24,1,0.0,0.0,16.0,15.61,-0.39,,,,,2081.19,1.3534,1.1396,1.2954,4,3,2015,0,CAUTION,0.25,37
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-16,2015-03-17,2015-03-17,expiry,1,2081.18994140625,2055,2025,2110,2140,127.28,2872.72,124.68,97.96,4.34,1,0.0,0.0,15.61,15.66,0.05,2059.71,,1.0,,2074.28,-0.332,1.2584,1.3843,0,3,2015,2,CAUTION,0.25,38
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-16,2015-03-17,2015-03-18,profit_target,1,2081.18994140625,2045,2015,2120,2150,206.98,2793.02,87.34,42.2,3.13,1,132.54,0.0,15.61,15.66,0.05,2059.71,,1.0,,2074.28,-0.332,1.7389,1.8648,0,3,2015,2,CAUTION,0.25,38
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-16,2015-03-18,2015-03-19,profit_target,2,2081.18994140625,2040,2010,2130,2160,263.34,2736.66,176.63,67.07,6.45,1,221.83,0.0,15.61,13.97,-1.64,2059.71,,1.0,,2099.5,0.8798,1.9792,2.3453,0,3,2015,2,CAUTION,0.25,38
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-17,2015-03-19,2015-03-20,profit_target,2,2074.280029296875,2030,2000,2120,2150,260.58,2739.42,174.6,67.0,6.37,1,219.8,-55.87,15.66,14.07,-1.59,2060.03,,1.0,,2089.27,0.7227,2.1347,2.2041,1,3,2015,2,CAUTION,0.25,39
IC3_1DTE_D10_TP50,iron_condor,1,0.1,30,2015-03-20,2015-03-23,2015-03-23,expiry,3,2108.10009765625,2085,2055,2130,2160,116.99,2883.01,114.39,97.78,3.97,1,0.0,0.0,13.02,13.41,0.39,2064.99,,1.0,,2104.42,-0.1746,1.0958,1.0388,4,3,2015,2,NEUTRAL,1.0,1
